state,State,Number of establishments,Employment,Annual payroll ($000)
AL,Alabama,"78,972","802,920","$30,986,278"
AK,Alaska,"18,188","137,271","6,974,993"
AZ,Arizona,"114,076","1,065,720","43,182,447"
AR,Arkansas,"53,966","490,680","17,132,234"
CA,California,"808,213","7,224,945","375,608,143"
CO,Colorado,"143,372","1,140,757","52,592,385"
CT,Connecticut,"73,735","745,085","37,942,808"
DE,Delaware,"20,194","187,221","8,523,741"
DC,D.C.,"17,878","250,345","17,655,546"
FL,Florida,"469,684","3,494,174","141,824,996"
GA,Georgia,"187,477","1,677,662","69,960,594"
HI,Hawaii,"27,190","275,908","11,307,271"
ID,Idaho,"41,312","325,294","11,507,380"
IL,Illinois,"268,674","2,476,958","120,256,281"
IN,Indiana,"116,862","1,232,838","47,885,328"
IA,Iowa,"69,029","649,796","25,142,567"
KS,Kansas,"61,515","605,147","23,519,181"
KY,Kentucky,"71,336","712,477","26,227,457"
LA,Louisiana,"86,986","905,147","36,296,925"
ME,Maine,"36,138","293,872","11,288,850"
MD,Maryland,"114,081","1,155,541","56,807,391"
MA,Massachusetts,"149,803","1,507,965","83,946,046"
MI,Michigan,"185,497","1,892,394","81,626,911"
MN,Minnesota,"127,061","1,259,012","54,885,165"
MS,Mississippi,"46,956","437,242","14,928,646"
MO,Missouri,"122,164","1,163,782","45,630,303"
MT,Montana,"34,096","245,758","8,802,223"
NE,Nebraska,"46,401","412,587","15,808,095"
NV,Nevada,"53,908","503,144","20,472,538"
NH,New Hampshire,"31,606","300,628","14,236,547"
NJ,New Jersey,"199,857","1,836,164","91,086,388"
NM,New Mexico,"35,735","339,731","12,539,639"
NY,New York,"481,792","4,110,264","219,738,715"
NC,North Carolina,"187,749","1,710,890","65,858,411"
ND,North Dakota,"20,979","195,312","8,360,080"
OH,Ohio,"198,301","2,180,337","87,856,791"
OK,Oklahoma,"77,320","710,271","27,600,634"
OR,Oregon,"100,766","871,241","35,729,253"
PA,Pennsylvania,"245,259","2,512,633","107,956,147"
RI,Rhode Island,"24,320","229,212","9,934,914"
SC,South Carolina,"86,695","817,008","29,652,310"
SD,South Dakota,"23,766","209,403","7,552,385"
TN,Tennessee,"105,492","1,116,870","46,188,806"
TX,Texas,"473,281","4,768,938","212,325,999"
UT,Utah,"68,296","590,417","24,033,600"
VT,Vermont,"18,589","157,322","6,375,197"
VA,Virginia,"160,910","1,557,962","73,409,216"
WA,Washington,"162,989","1,404,077","67,340,488"
WV,West Virginia,"28,424","269,789","9,414,952"
WI,Wisconsin,"117,354","1,267,087","50,287,603"
WY,Wyoming,"18,558","128,883","5,336,181"
USA,United States,"6,512,802","60,556,081","$2,711,536,979"
